id,meeting_id,parent_id,position,title,description,linked_policy_id,linked_objective_id,time_allocated,created_at,updated_at
ed7388c6-e898-4421-885e-19eef5249346,869986b6-2d54-4af0-81f5-1980591e80e4,,1,Policy Discussion #1,Discussion led by chair.,,,30,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
b2af5590-f16c-421c-b550-69d84345d26d,869986b6-2d54-4af0-81f5-1980591e80e4,,2,Opening Remarks #3,Public comment period included.,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
0d276637-a866-4fb8-bed3-adb79543af30,869986b6-2d54-4af0-81f5-1980591e80e4,,3,Action Items #1,Discussion led by chair.,,,5,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
d16cc576-11f3-4f86-915a-bb750c27064c,869986b6-2d54-4af0-81f5-1980591e80e4,ed7388c6-e898-4421-885e-19eef5249346,4,Instructional Materials #6,Discussion led by chair.,,,15,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
e64a540f-141f-4834-ae8f-26d0593bfdd1,869986b6-2d54-4af0-81f5-1980591e80e4,ed7388c6-e898-4421-885e-19eef5249346,5,Action Items #3,,,,15,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
f1fa2cec-f03b-4738-a0e1-19ebac480c19,869986b6-2d54-4af0-81f5-1980591e80e4,ed7388c6-e898-4421-885e-19eef5249346,6,Program Update #3,Discussion led by chair.,,,60,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
889e85d3-32d0-4efa-8ca6-9f863b630706,7a553b01-f078-43e7-8d10-3eff2e205e3d,,1,Instructional Materials #4,Review supporting documents.,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
dce3bea4-263a-4cf9-96d5-03a5d85fd08b,7a553b01-f078-43e7-8d10-3eff2e205e3d,,2,Policy Discussion #1,Discussion led by chair.,,,5,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
6356c5d8-55d4-4da3-95a6-f18bac619dec,7a553b01-f078-43e7-8d10-3eff2e205e3d,,3,Opening Remarks #1,Review supporting documents.,,,60,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
a1223fc7-f9c3-41ff-af18-6c77cfd15d96,7a553b01-f078-43e7-8d10-3eff2e205e3d,889e85d3-32d0-4efa-8ca6-9f863b630706,4,Old Business #2,,,,30,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
6e8e3264-d73a-4792-970e-c5a88ed763af,7a553b01-f078-43e7-8d10-3eff2e205e3d,,5,Policy Discussion #1,Public comment period included.,,,30,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
96edf934-685c-4a4f-97a9-194720491610,7a553b01-f078-43e7-8d10-3eff2e205e3d,889e85d3-32d0-4efa-8ca6-9f863b630706,6,New Business #3,Review supporting documents.,,,10,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
1e5255f5-76c6-469d-992a-135a09d2e078,7a553b01-f078-43e7-8d10-3eff2e205e3d,,7,Instructional Materials #6,Public comment period included.,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
1c94399f-7625-4a25-b857-0fdcb5b66a43,e5b19f94-9bdb-4f5e-992a-da5cbaf6f7c4,,1,Opening Remarks #2,Public comment period included.,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
753ac9ef-7d3e-4765-9250-43c6e23426bc,e5b19f94-9bdb-4f5e-992a-da5cbaf6f7c4,,2,Assessment Alignment #2,Public comment period included.,,,5,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
563b6707-97a3-46c8-91fc-dc6192920228,e5b19f94-9bdb-4f5e-992a-da5cbaf6f7c4,,3,New Business #2,,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
6bcde9fb-87f9-40ea-991f-f5ea5084a9e4,e5b19f94-9bdb-4f5e-992a-da5cbaf6f7c4,1c94399f-7625-4a25-b857-0fdcb5b66a43,4,Action Items #3,Discussion led by chair.,,,,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
49c70a61-c56d-4094-b32a-082ffb7d6f4a,e5b19f94-9bdb-4f5e-992a-da5cbaf6f7c4,,5,Program Update #2,Public comment period included.,,,20,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
4a4b042d-4dad-44b2-88a0-e43118fd6877,3209b9d0-6fdd-4b6c-8061-686fbbb2f2a2,,1,Instructional Materials #3,Review supporting documents.,,,20,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
a8410cc4-a04b-4ad9-a4a7-a24698a086ad,3209b9d0-6fdd-4b6c-8061-686fbbb2f2a2,,2,Assessment Alignment #5,Discussion led by chair.,,,20,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
031e338f-c444-4c74-af72-497c99233e5b,3209b9d0-6fdd-4b6c-8061-686fbbb2f2a2,,3,Community Input #2,,,,30,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
5cd4cba9-521b-4ff3-805c-329642f83c48,3209b9d0-6fdd-4b6c-8061-686fbbb2f2a2,,4,New Business #6,Discussion led by chair.,,,5,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
cb326606-c47d-4acb-8719-9f5870da587d,3209b9d0-6fdd-4b6c-8061-686fbbb2f2a2,,5,Community Input #6,Public comment period included.,,,,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
7f315711-0848-4475-9e9e-fd5e626fe74c,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,1,Opening Remarks #3,Public comment period included.,,,10,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
da759d0d-a1d3-4ceb-b1b1-832d4c825558,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,2,New Business #4,Discussion led by chair.,,,60,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
d03a4da2-e3e5-4c51-86a7-19ce1bb8ddd1,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,3,Opening Remarks #4,Review supporting documents.,,,30,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
bbcf4b50-01eb-4713-8c0f-2747fd6715ab,e151689a-aac6-4c0c-838b-b9e5273eaf6f,7f315711-0848-4475-9e9e-fd5e626fe74c,4,Action Items #5,Review supporting documents.,,,,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
1bc46f1f-cc7e-4fc2-bd56-f4814e537c24,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,5,Opening Remarks #5,Review supporting documents.,,,45,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
0a127957-6975-4e7f-8b18-d656e4b203d5,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,6,Action Items #3,,,,15,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
39e98a43-f3a4-4ead-b8cf-260f5a6898bd,e151689a-aac6-4c0c-838b-b9e5273eaf6f,,7,Old Business #3,Review supporting documents.,,,5,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
4a112ffd-1d9a-4646-b074-ad09a0698e37,6b28fd80-e5cf-4635-88ac-2f4c61b2925a,,1,Instructional Materials #6,Discussion led by chair.,,,,2025-09-04T16:25:00.696544+00:00,2025-09-04T16:25:00.696544+00:00
