id,meeting_id,document_id,file_uri,label,created_at,updated_at
6662b78b-dd5b-4a21-885d-950db4894ae7,a78d45b5-04e9-479a-b5f6-e6084359d547,7240d508-b659-4806-9bca-cbeb6a23a71e,/documents/7240d508-b659-4806-9bca-cbeb6a23a71e,Handout,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
1d803de8-a701-405b-99c3-36bf0736780d,978b2b76-ee3e-441b-a1aa-a63ec2e97843,ac9917f8-d500-4041-a80b-5c943c7cf579,/documents/ac9917f8-d500-4041-a80b-5c943c7cf579,Public Notice,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
cd1e2f97-9e5c-4b1e-bcdd-5c3a5ec2f844,9b82a033-c4b7-45a1-b8cb-2b1ab44584dd,e6f747ee-c606-400c-b904-6edded323e46,/documents/e6f747ee-c606-400c-b904-6edded323e46,Background,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
130ad484-114d-467c-898e-6ca0b5695860,2fceb03e-10c2-4510-b5cb-95ca30fe0d79,c191e723-b7d6-40bb-9930-c7fb8cec5b5a,/documents/c191e723-b7d6-40bb-9930-c7fb8cec5b5a,Summary,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
35ecd16c-33f3-4948-afb5-d06d09906e75,e5262ddb-2f66-4065-8a1c-25fcc0b9a705,653df72f-66cb-4c1a-a0ba-c5140c4c1bd2,/documents/653df72f-66cb-4c1a-a0ba-c5140c4c1bd2,Handout,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
ca33639c-ebb5-4943-87f2-6ca4347fdc76,d7d8aff1-e06e-4a61-ae22-f43f2bb9bcf7,aa9fb421-fc93-476c-953a-2da8a4eda8b6,/documents/aa9fb421-fc93-476c-953a-2da8a4eda8b6,Slide Deck,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
4342a883-e3ea-478e-b72a-d2916a672b41,e8bd6db6-ce97-44a2-b4fd-26b471ab7d95,e4a09c5c-bc71-4455-9188-01fc0ce5b2c7,/documents/e4a09c5c-bc71-4455-9188-01fc0ce5b2c7,Staff Report,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
0bd86a8a-68f7-45d6-9ead-51fa8a5a413b,e012e9e9-920e-4756-bf07-c190be631614,ab50c41f-6fce-458f-be53-05f2adff0975,/documents/ab50c41f-6fce-458f-be53-05f2adff0975,Background,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
2f003d49-a9eb-4074-90f1-6c95137e3df3,6ed51a58-f0c3-4b51-bbd8-263ee45e1133,27575826-83e7-4426-9eba-8541f765fd3b,/documents/27575826-83e7-4426-9eba-8541f765fd3b,Slide Deck,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
ff42515e-abe2-4a61-803f-da0a825ca5df,a4ee7f67-358d-46c6-85cd-364a45c2976f,69cec3a8-ab4f-4c48-b3ee-a8efede6a15c,/documents/69cec3a8-ab4f-4c48-b3ee-a8efede6a15c,Staff Report,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
3994a433-1aa6-4605-84ee-9daffbaa8604,e012e9e9-920e-4756-bf07-c190be631614,69cec3a8-ab4f-4c48-b3ee-a8efede6a15c,/documents/69cec3a8-ab4f-4c48-b3ee-a8efede6a15c,Agenda,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
ad452b96-174a-4fcf-9ed5-5450a6024e57,a78d45b5-04e9-479a-b5f6-e6084359d547,ac9917f8-d500-4041-a80b-5c943c7cf579,/documents/ac9917f8-d500-4041-a80b-5c943c7cf579,Minutes,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
dc636b86-8053-4423-b63d-cd84df86812b,03aec86a-3e36-4f0f-8fdd-19e67314d4db,8888ae4c-cc6b-4757-9b27-a57281ca3cd6,/documents/8888ae4c-cc6b-4757-9b27-a57281ca3cd6,Public Notice,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
4b3dba56-7e70-48db-b8f8-faad4cdd2a0d,6ed51a58-f0c3-4b51-bbd8-263ee45e1133,ac9917f8-d500-4041-a80b-5c943c7cf579,/documents/ac9917f8-d500-4041-a80b-5c943c7cf579,Summary,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
6ffc56d9-f171-4434-8f37-1146012c1012,e012e9e9-920e-4756-bf07-c190be631614,d03bac93-17d2-4507-96c2-cb40fe0cca9c,/documents/d03bac93-17d2-4507-96c2-cb40fe0cca9c,Attachment B,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
6dca6097-a0f6-4db6-9689-01b7bacdfd31,a4ee7f67-358d-46c6-85cd-364a45c2976f,73a304fc-608e-4ae3-b9f6-6e38301e65b3,/documents/73a304fc-608e-4ae3-b9f6-6e38301e65b3,Slide Deck,2025-09-04T16:25:00.767613+00:00,2025-09-04T16:25:00.767613+00:00
