id,order_id,ticket_type_id,serial_no,price_cents,holder_person_id,qr_code,status,issued_at,checked_in_at,created_at,updated_at
e42a56cd-6e0f-4d41-834c-9fb874ca88b0,af772f8a-0144-47cc-bac7-ac26b9c3e89e,0f98ab0e-9fd4-4b38-9ac1-dd9375fe9dcf,1,2500,,dceb979339864d7880298a31,checked_in,2025-07-14T17:34:26.152315+00:00,2025-07-14T20:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
adedc183-4d39-43ee-a75f-7e5135f4c449,1858272b-1d72-4f69-815b-08fd13a9a5df,c66bbb9f-4068-492e-8565-8e41fbebc671,1,1000,,0cdbf29a46744a75b474036e,void,2025-05-29T03:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
a571ee00-483c-41ef-b8e8-a4ccefb23d8d,b1275fbc-057a-4ec4-b807-695aec4013d2,d2cd1543-69ae-4f96-9d62-2f8795d57d1d,1,1000,,a3803ae1e7134c79b49730e6,issued,2025-08-11T11:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
ae019729-0735-4428-a769-46384929ece7,4118561d-7671-4e9b-ba9c-dd9fa0e82f38,5a035c6b-7c63-4372-9860-e13a8ef46082,1,1000,,b7abbbb7ed054dcfb7a183e6,void,2025-07-01T02:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
2ba5b611-0523-475a-baa6-2577bedcddf4,c54c2a10-4057-4ae4-8073-2192610485de,61fb4c52-937b-4d5a-a8de-eb3ac6747ce7,1,5000,,ea3b6887f9d04bc7856eceef,issued,2025-05-16T13:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
08e13c1a-8396-4ecb-9073-74563ee4a894,218eaef8-1ba8-435e-9106-2090589da4a0,6fcb3d81-6e68-49db-b4e0-638dba63b833,1,1000,,b6380201185f48239c98e440,void,2025-06-18T13:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
0c910a10-bc35-4151-b668-7bae2c7888c4,d6533072-37fe-4a5b-b22e-f5cb67aa482c,24a6b998-659b-461c-b358-1bbf69cc6388,1,5000,,35e6d2f9d33540d28a74f7f3,issued,2025-08-11T16:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
e159349c-5db6-4cdf-a517-d7f5ab3f99bc,2e0bf6b8-4fba-4e4d-b11a-ff0de1dccbfd,d5a8354e-43ab-4ee6-8596-2e2eafcd6655,1,500,,,issued,2025-05-29T15:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
da2c4079-0efc-4792-af45-297a6014eb43,5f34884e-54c6-444c-a7e7-a900ab304be9,25b287e8-9c30-4507-a3d0-9a80028255c9,1,5000,,,checked_in,2025-08-20T10:34:26.152315+00:00,2025-08-20T15:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
72f3cd87-3483-421a-adf0-8d2b9f7b44ed,6b967dd9-8f16-48a1-9bde-90117fde6ac6,65c7511f-da96-43b5-9e1e-de6c26d3a294,1,1000,,cb9a43a7932448c090286649,void,2025-04-28T17:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
710e9891-f069-469e-81f0-eb22c6e163ac,0de60674-f65e-43cd-8e18-9674ed9d6b93,49e51991-3330-49e4-99fc-94b7a431000f,1,4000,,67dc134436bd435d8e318eb0,void,2025-08-29T02:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
bf10fcb5-5c51-4355-8710-b86020de18cc,c475d518-5bc7-4932-8024-cdd885cfdae1,0567c1f6-69c1-4f5c-8c3f-7ed793dac265,1,2500,,c8fcd6862ffa425b90facf89,issued,2025-05-08T18:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
d8459a5e-4fc6-4f64-a844-97bbfc343c9d,c0f6b7f5-ae05-4f82-b2aa-82e4a0576e69,cfda011d-e807-4d9f-b748-0ba5de367b99,1,2500,,763c637322444961be9b6fcb,issued,2025-04-12T17:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
1f273df7-6859-4a35-a06c-0c696c04363b,3af61ccf-fdc1-490d-a9ac-626b237c6241,1da699cb-d2f9-451c-9c11-ff2372075957,1,1000,,496a1c390e884254b08e490b,void,2025-06-17T01:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
31ba2808-2f1a-403a-967d-6e270a112760,77143660-a177-4943-b5b6-13f9e181d616,98cd2a92-76f2-4ebc-9999-f5bb0ebe23c8,1,3000,,769143c86cb04e9c88b92838,void,2025-06-18T19:34:26.152315+00:00,,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
8a8c0f83-3252-4af9-8d57-2d63032253c4,629bd1d9-af32-458e-af9f-950e61633373,c6fae12d-52be-451c-8e2c-b17248c32228,1,3000,,,checked_in,2025-06-26T18:34:26.152315+00:00,2025-06-26T20:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00,2025-09-05T17:34:26.152315+00:00
